56,"['sierra', 'leone', 'in', 'ebola', 'lockdown']"
57,"['video:', 'sitting', 'down', 'poses', 'health', 'risk']"
58,"['video:', 'diarrhoea', 'killing', 'poorest', 'children']"
59,"['office', 'workers', 'too', 'sedentary']"
60,"['nhs', 'medical', 'accidents', 'unit', 'needed']"
61,"['fitness', 'linked', 'to', 'lower', 'cancer', 'risk']"
62,"['indiana', 'emergency', 'for', 'hiv', 'epidemic']"
63,"['first', 'europe', 'non-beating', 'heart', 'swap']"
64,"['video:', 'what', 'makes', 'a', 'healthy', 'high', 'street?']"
65,"['video:', 'nhs', 'england', 'deteriorating']"
66,"['video:', 'sport', 'must', 'act', 'on', 'mental', 'health']"
67,"['unhealthiest', 'high', 'streets', 'revealed']"
68,"['nhs', 'problems', 'worst', 'since', '1990s']"
69,"['dna', 'of', 'an', 'entire', 'nation', 'assessed']"
70,"['ebola', 'more', 'deadly', 'in', 'young', 'children']"
71,"['contaminated', 'blood', 'probe', 'report', 'due']"
72,"['antibiotic', 'use', 'linked', 'to', 'diabetes']"
73,"['approach', 'to', 'obesity', 'inexplicable']"
74,"['air', 'pollution', 'link', 'to', 'stroke', 'risk']"
75,"['ex-carers', 'too', 'little', 'travel', 'time']"
76,"['three', 'ivf', 'cycles', 'a', 'no-brainer']"
77,"['has', 'ebola', 'focus', 'led', 'to', 'other', 'killer', 'diseases', 'being', 'ignored?']"
78,"['preventive', 'surgery', 'for', 'cancer', 'genes']"
79,"['video:', 'how', 'one', 'us', 'school', 'is', 'battling', 'obesity']"
80,"['angelina', 'jolie', 'has', 'ovaries', 'removed']"
81,"['video:', 'dr', ""radha's"", 'guide', 'to', 'a', 'healthy', 'diet']"
82,"['methadone', 'programme', 'a', 'black', 'hole']"
83,"['hospital', 'mental', 'health', 'absences', 'rise']"
84,"['video:', 'could', 'cannabis', 'oil', 'cure', 'cancer?']"
85,"['eat', 'rice', 'cold', 'for', 'fewer', 'calories']"
86,"['uk', 'medics', 'had', 'humanitarian', 'motives']"
87,"['video:', 'half', 'of', 'children', 'not', 'eating', 'healthily']"
88,"['ashya', 'king', 'free', 'of', 'brain', 'cancer']"
89,"['video:', 'charity', 'slams', 'global', 'ebola', 'response']"
90,"['hospital', 'staff', 'act', 'above', 'pay', 'grade']"
91,"['disease-carrying', 'mosquitoes', 'warning']"
92,"['how', 'ebola', 'changed', 'the', 'world']"
93,"['early', 'call', 'for', 'ebola', 'help', 'ignored']"
94,"[""asia's"", 'deadly', 'secret:', 'the', 'scourge', 'of', 'the', 'betel', 'nut']"
95,"['video:', 'hunt', 'hopeful', 'of', 'men', 'b', 'jab', 'deal']"
96,"['video:', 'criticism', 'of', 'men', 'b', 'vaccine', 'delay']"
97,"['campaigners', 'make', 'men', 'b', 'vaccine', 'plea']"
98,"['video:', 'conned', 'ivf', 'husband', 'wins', 'damages']"
99,"['video:', 'what', 'can', 'make', 'you', 'happy?']"
100,"['mental', 'health', 'budgets', 'cut', 'by', '8%']"
101,"['ebola-proof', 'tablet', 'device', 'developed']"
102,"['video:', 'young', 'carer', 'elle', 'describes', 'challenges']"
103,"['video:', 'toxic', 'smog', 'prompts', 'health', 'warning']"
104,"['half', 'of', 'children', 'have', 'tooth', 'decay']"
105,"['blood', 'test', 'could', 'cut', 'antibiotics']"
106,"['new', 'global', 'fund', 'for', 'tobacco', 'control']"
107,"['doctors', 'in', 'no', 'confidence', 'vote']"
108,"['morbidly', 'obese', 'could', 'get', 'free', 'flu', 'jab']"
109,"['breastfeeding', 'linked', 'to', 'higher', 'iq']"
110,"['privately-run', 'hospital', 'scheme', 'poor']"
111,"['morbidly', 'obese', 'could', 'get', 'free', 'flu', 'jab']"
112,"['has', 'the', 'war', 'on', 'drugs', 'been', 'lost?']"
113,"['has', 'the', 'war', 'on', 'drugs', 'been', 'lost?']"
114,"['selfie', 'danger', 'during', 'solar', 'eclipse']"
115,"['video:', 'child', 'mental', 'health', 'services', 'broken']"
116,"['dentist', 'probe', 'patients', 'contract', 'virus']"
117,"['video:', 'why', 'did', 'my', 'partner', 'take', 'his', 'own', 'life?']"
118,"['nhs', 'trust', 'put', 'into', 'special', 'measures']"
119,"['video:', 'burnham', 'on', 'mental', 'health', 'scandal']"
120,"['video:', 'pharmacists', 'are', 'extremely', 'skilled']"
121,"['video:', 'child', 'mental', 'health', 'needs', 'overhaul']"
122,"['video:', 'pharmacists', 'should', 'support', 'gps']"
123,"['army', 'of', 'pharmacists', 'to', 'help', 'gps']"
124,"['child', 'mental', 'health', 'faces', 'overhaul']"
125,"['ebola:', 'seventh', 'brit', 'sent', 'home']"
126,"['video:', 'mother', 'warns', 'over', 'meningitis', 'w']"
127,"['flying', 'doctors', 'fleet', 'unveiled']"
128,"['inactive', 'child', 'will', 'be', 'couch', 'potato']"
129,"['pioneering', 'surgery', 'saves', 'bowels']"
130,"['parents', 'face', 'special', 'needs', 'lottery']"
131,"['lack', 'of', 'sleep', 'link', 'to', 'diabetes']"
132,"['improve', 'end-of-life', 'care', 'for', 'all']"
133,"['video:', 'mental', 'health', 'spending', 'boost']"
134,"['mental', 'health', 'to', 'get', 'funding', 'boost']"
135,"['testosterone', 'boost', 'could', 'cut', 'deaths']"
136,"['video:', 'the', 'art', 'of', 'microbes']"
137,"['video:', 'hospitals', 'struggling', 'with', 'a&amp;e', 'targets']"
138,"['first', 'successful', 'penis', 'transplant']"
139,"['video:', 'british', 'ebola', 'workers', 'under', 'observation']"
140,"['scarlet', 'fever', 'cases', 'reach', 'new', 'high']"
141,"['vaccine', 'plan', 'for', 'meningitis', 'rise']"
142,"['how', 'bad', 'has', 'winter', 'been', 'for', 'the', 'nhs?']"
143,"['a&amp;e', 'target', 'missed', 'whole', 'of', 'winter']"
144,"['union', 'calls', 'incident', 'move', 'a', 'stunt']"
145,"['video:', 'my', 'daughter', 'might', 'not', 'have', 'died']"
146,"['measles', 'fear', 'for', 'ebola-hit', 'countries']"
147,"['best', 'hospitals', 'now', 'struggling']"
148,"['video:', 'sir', 'terry', ""pratchett's"", 'legacy', 'to', 'research']"
149,"['raf', 'flight', 'to', 'help', 'uk', 'ebola', 'patient']"
150,"['mps', 'criticise', 'england', 'cancer', 'services']"
151,"['why', 'not', 'introduce', 'more', 'nhs', 'charges?']"
152,"['the', 'nhs', '-', 'a', 'powerhouse', 'for', 'new', 'medicines?']"
153,"['uk', 'military', 'health', 'worker', 'has', 'ebola']"
154,"['mps', 'back', 'standardised', 'cigarette', 'packs']"
155,"['brain', 'injury', 'birth', 'mum', 'awarded', '£5m']"
156,"['are', 'anti-smoking', 'measures', 'working?']"
157,"['video:', 'lucas', 'questions', 'nhs', 'spending', 'priorities']"
158,"['using', 'legal', 'highs', 'got', 'worse', 'and', 'worse']"
159,"['cigarette', 'plain', 'packaging', 'vote', 'due']"
160,"['video:', 'living', 'with', 'early-onset', ""alzheimer's""]"
161,"['starting', 'gun', 'fired', 'on', 'new', 'nhs']"
162,"['video:', 'menopause', 'not', 'supported', 'in', 'workplaces']"
163,"['hrt-users', 'may', 'risk', 'clots', 'and', 'stroke']"
164,"['hunt', 'for', 'new', 'obesity', 'pills']"
165,"['are', 'rwandans', 'healthier', 'than', 'the', 'english?']"
166,"['warning', 'over', 'young', 'diabetics', 'health']"
167,"['c-section', 'rates', 'vary', 'widely', 'in', 'eu']"
168,"['frankie', 'the', 'dog', '‘sniffs', 'out', 'cancer’']"
169,"['nhs', 'whistleblower', 'demands', 'new', 'job']"
170,"['no', 'restrictions', 'on', 'ebola', 'nurse']"
171,"['video:', 'new', 'mental', 'health', 'rights', 'proposed']"
172,"['low-fat', 'diet', 'burns', 'more', 'fat']"
173,"['disrupting', 'chemicals', '‘cost', 'billions’']"
174,"['new', 'mental', 'health', 'rights', 'proposed']"
175,"['video:', 'child', 'star', 'with', ""down's"", 'syndrome', 'back', 'on', 'tv']"
176,"['end', 'fixation', 'with', 'a&amp;e', 'wait', 'target']"
177,"['video:', 'app', 'guides', 'blind', 'people', 'on', 'the', 'tube']"
178,"['technology', 'helps', 'visually', 'impaired', 'navigate', 'the', 'tube']"
179,"['prisons', 'face', 'smoking', 'ban', 'prosecution']"
180,"['video:', 'meningitis:', 'no', 'one', 'should', 'go', 'through', 'this', 'pain']"
181,"['liberia', 'ebola-free', 'for', 'one', 'week']"
182,"['hospital', 'crisis', 'hit', '900', 'operations']"
183,"['billions', 'have', 'untreated', 'tooth', 'decay']"
184,"['plumbers', 'should', 'report', 'cold', 'homes']"
185,"['autism', 'appears', 'largely', 'genetic']"
186,"['video:', 'cancer', 'target', 'missed', 'for', '20,000', 'people']"
187,"['video:', 'fears', 'for', 'future', 'of', 'ebola', 'orphanage']"
188,"['is', 'another', 'nhs', 'scandal', 'brewing?']"
189,"['clegg', 'in', 'drug', 'law', 'election', 'pledge']"
190,"['adults', 'get', 'flu', 'every', 'five', 'years']"
191,"['care', 'workers', 'being', 'short', 'changed']"
192,"['video:', 'the', 'man', 'who', 'changed', 'parenting']"
193,"['tablet', 'video', 'game', 'combats', 'lazy', 'eye']"
194,"['video:', 'how', 'much', 'coffee', 'is', 'good', 'for', 'you?']"
195,"['unison', 'votes', 'to', 'accept', 'nhs', 'pay', 'deal']"
196,"['formal', 'end', 'to', 'ni', 'child', 'heart', 'surgery']"
197,"['hospital', 'investigation', 'cost', '£19.5m']"
198,"['cancer', 'drug', ""patient's"", 'england', 'move']"
199,"['a&amp;e', 'waiting', 'time', 'targets', 'missed']"
200,"['$80m', 'for', 'sierra', 'leone', 'to', 'fight', 'ebola']"
201,"['baby', 'deaths', 'inquiry', 'report', 'due']"
202,"['coffee', 'linked', 'to', 'cleaner', 'arteries']"
203,"['video:', 'hidden', 'victims', 'of', 'the', 'ebola', 'crisis']"
204,"['gp', 'shortages', 'put', 'pressure', 'on', 'doctors']"
205,"['new', 'gp', 'deal', 'allows', 'more', 'caring', 'time']"
206,"['drug', 'drivers', 'targeted', 'by', 'new', 'rules']"
207,"['child', 'health', 'an', 'election', 'issue']"
208,"['are', 'humans', 'getting', 'cleverer?']"
209,"['concern', 'over', 'online', 'gonorrhoea', 'care']"
210,"['distinct', 'me', 'stages', 'found,', 'says', 'study']"
211,"['why', ""sam's"", 'wobbly', 'brain', 'is', 'important']"
212,"['video:', 'improving', 'palliative', 'care', 'in', 'mexico']"
213,"['cut', 'music', 'to', 'an', 'hour', 'a', 'day', '-', 'who']"
214,"['devo', 'manc', 'and', 'the', 'nhs']"
215,"['start', 'date', 'for', 'devo', 'manc', 'nhs', 'plan']"
216,"['leukaemia', 'changes', 'almost', 'inevitable']"
217,"['man', 'sentenced', 'for', 'doctor', 'cv', 'changes']"
218,"['savile:', 'why', 'the', 'risks', 'are', 'real', 'in', ""today's"", 'nhs']"
219,"['savile', 'abused', '63', 'people', 'at', 'hospital']"
220,"['video:', 'dementia', 'like', 'having', 'a', 'small', 'child']"
221,"['call', 'to', 'ban', 'energy', 'drinks', 'for', 'kids']"
222,"['dispute', 'over', 'outdoor', 'smoking', 'ban', 'call']"
223,"['hospital', 'staff', 'told', 'of', 'savile', 'abuse']"
224,"['analysis:', 'an', 'hiv', 'game', ""changer'?""]"
225,"['who', 'taken', 'aback', 'by', 'measles', 'outbreaks']"
226,"[""don't"", 'cut', 'other', 'areas', 'to', 'fund', 'nhs']"
227,"['video:', 'flu', 'scientists', 'defend', 'vaccine', 'choice']"
228,"['video:', 'health', 'devolution', 'for', 'greater', 'manchester']"
229,"['depression', 'link', 'to', 'violent', 'crime']"
230,"['skin', 'test', 'spots', ""alzheimer's"", 'disease']"
231,"['give', 'hiv', 'drugs', 'to', 'healthy', 'gay', 'men']"
232,"['councils', 'to', 'control', '£6bn', 'nhs', 'budget']"
233,"['tobacco', 'kills', 'two', 'in', 'three', 'smokers']"
234,"['patient', 'waiting', 'time', 'targets', 'missed']"
235,"['nhs', 'must', 'step', 'in', 'over', 'avastin', 'row']"
236,"['black', 'alert', 'trust', 'stops', '1,000', 'ops']"
237,"['rise', 'in', 'a&amp;e', 'wait', 'times', 'for', 'patients']"
238,"['teenage', 'pregnancies', 'hit', 'record', 'low']"
239,"['care', 'inspections', 'not', 'fit', 'for', 'purpose']"
240,"['video:', 'finger', 'on', 'the', 'pulse', 'of', 'bionic', 'research']"
241,"['support', 'fears', 'delay', 'nhs', 'discharges']"
242,"['dementia', 'research', 'matchmaker', 'scheme']"
243,"['deciding', 'vote', 'on', 'three-person', 'babies']"
244,"['video:', 'the', 'smart', 'bandage', 'treating', 'wounds']"
245,"['early', 'exposure', 'cuts', 'peanut', 'allergy']"
246,"['hospital', 'black', 'alerts', 'extended']"
247,"['fertility', 'clinic', 'at', 'hospital', 'reopens']"
248,"['video:', 'the', 'dangers', 'of', 'tanning', 'addiction']"
249,"['patient', 'in', '16-hour', 'trolley', 'wait']"
250,"['who', 'calls', 'for', 'action', 'over', 'mers', 'virus']"
251,"['uk', 'ebola', 'medics', 'under', 'investigation']"
252,"['video:', 'mental', 'health', 'deaths', 'avoidable']"
253,"['call', 'for', 'global', 'single-use', 'syringes']"
254,"['video:', 'youth', 'heart', 'screening', 'saving', 'lives']"
255,"['video:', 'tackling', ""fgm's"", 'poor', 'prosecution', 'rate']"
256,"['healthy', 'dose', 'of', 'hope', 'for', 'one-use', 'syringes']"
257,"['deaths', 'in', 'detention', 'avoidable']"
258,"['the', 'blind', 'breast', 'cancer', 'detectors']"
259,"['video:', 'ex-pilot', 'warns', 'over', 'toxic', 'plane', 'fumes']"
260,"['video:', 'swine', 'flu', 'outbreak', 'spreads', 'across', 'india']"
261,"['dementia', 'research', 'to', 'receive', '£300m']"
262,"['video:', 'how', 'do', 'dementia', 'friends', 'work?']"
263,"['dementia', 'friends', 'reach', 'one', 'million']"
264,"['nhs', 'foundation', 'trusts', 'deficit', 'rises']"
265,"['video:', 'babies', 'sleeping', 'outside', 'sleep', 'longer']"
266,"['video:', 'child', 'mental', 'health', 'must', 'be', 'priority']"
267,"['fifteen-minute', 'ebola', 'test', 'approved']"
268,"['a&amp;e', 'waits', 'worsen', 'across', 'england']"
269,"['video:', 'trying', 'to', 'save', 'young', 'hearts']"
270,"['patients', 'face', 'fines', 'on', 'free', 'scripts']"
271,"['priority', 'call', 'on', 'child', 'mental', 'health']"
272,"['sunlight', 'harms', 'skin', 'for', 'hours', 'later']"
273,"['resistant-malaria', 'enormous', 'threat']"
274,"['us', 'panel', 'backs', 'green', 'low-meat', 'diet']"
275,"['dozens', 'exposed', 'to', 'superbug', 'in', 'la']"
276,"['suicide', 'in', 'men', 'highest', 'since', '2001']"
277,"['unsafe', 'trust', 'in', 'special', 'measures']"
278,"['video:', 'the', 'children', 'let', 'down', 'by', 'mental', 'health', 'care']"
279,"['nhs', 'child', 'mental', 'health', 'care', 'pledge']"
280,"['child', 'mental', 'health:', 'a', ""mother's"", 'struggle']"
281,"['australia', 'hep', 'a', 'outbreak', 'spreads']"
282,"['viewpoint:', 'children', 'see', 'a', 'person', 'not', 'a', 'disability']"
283,"['nhs', 'paying', 'too', 'much', 'for', 'medicines']"
284,"['video:', 'painful', 'wait', 'for', 'a', ""child's"", 'diagnosis']"
285,"['radical', 'hiv', 'vaccine', 'ploy', 'raises', 'hope']"
286,"['disabled', 'children', 'left', 'in', 'pain']"
287,"['video:', 'e-cigarette', 'ban', 'at', 'scottish', 'hospitals']"
288,"['cannabis:', 'promise,', 'risk', 'and', 'controversy']"
289,"['patient-safety-fear', 'gp', 'defies', 'nhs']"
290,"['state', 'of', 'the', 'nhs:', 'wales', 'v', 'england']"
291,"['nhs', 'misses', 'a', 'year', 'of', 'cancer', 'targets']"
292,"['fewer', 'a&amp;e', 'patients', 'waiting', 'longer']"
293,"['video:', 'drug', 'and', 'alcohol', 'courts', 'to', 'be', 'extended']"
294,"['video:', 'doctors', 'told', 'to', 'reduce', 'antibiotics']"
295,"['video:', 'how', 'art', 'can', 'help', 'mental', 'health?']"
296,"['call', 'to', 'snoop', 'on', 'antibiotic', 'scripts']"
297,"['trust', 'declares', 'significant', 'incident']"
298,"['video:', 'frustrations', 'of', 'an', 'nhs', 'brain', 'surgeon']"
299,"['jokes', 'about', 'autism', 'are', 'ignorant']"
300,"[""tomorrow's"", 'mums', 'need', 'obesity', 'help']"
301,"['cigarette', 'packet', 'law', 'would', 'save', 'lives']"
302,"['video:', 'walking', 'again', 'with', 'help', 'of', 'oxygen']"
303,"['video:', '£30m', 'boost', 'for', ""alzheimer's"", 'research']"
304,"['schools', 'reopen', 'in', 'ebola-hit', 'liberia']"
305,"['video:', 'ebola', 'crisis:', 'liberia', 'schools', 'reopen']"
306,"['video:', 'syria', 'war', 'victim', 'given', 'new', 'jaw']"
307,"['video:', 'warning', 'over', 'strong', 'cannabis']"
308,"[""alzheimer's"", '£30m', 'collaboration', 'begins']"
309,"['psychosis', 'link', 'to', 'potent', 'cannabis']"
310,"['video:', 'videos', 'of', '1,500', 'beating', 'human', 'hearts']"
311,"['video:', 'bright', 'future:', 'light', 'therapy', 'school']"
312,"['unlabelled', 'nuts', 'in', 'food', 'prompts', 'probe']"
313,"['video:', 'lung', 'cancer', 'breath', 'test', 'trialled']"
314,"['video:', 'pm', 'orders', 'sickness', 'benefits', 'review']"
315,"['synthetic', 'vaccine', 'sought', 'for', 'polio']"
316,"['pm', 'orders', 'review', 'into', 'sickness', 'benefit']"
317,"[""hospital's"", 'a&amp;e', 'consultants', 'all', 'quit']"
318,"['are', 'we', 'now', 'on', 'half', 'measures?']"
319,"['hospitals', 'develop', 'a&amp;e', 'solutions']"
320,"['a&amp;e', 'waits', 'improve', 'across', 'england']"
321,"['could', 'smart', 'phones', 'help', 'provide', 'mental', 'health', 'care?']"
322,"['binge-drinking', 'falls', 'in', 'young', 'adults']"
323,"['hrt', 'increases', 'ovarian', 'cancer', 'risk']"
324,"['screen', 'name', 'key', 'to', 'online', 'dating']"
325,"['law', 'to', 'make', 'fgm', 'reporting', 'mandatory']"
326,"['ebola', 'healthcare', 'workers', 'discharged']"
327,"['is', 'a', 'complete', 'ban', 'on', 'smoking', 'next?']"
328,"['video:', 'baking', 'back', 'to', 'health']"
329,"['advice', 'on', 'secret', 'care', 'home', 'filming']"
330,"['row', 'over', 'sugar-money', 'influence']"
331,"['discovery', 'of', 'largest', 'genetic', 'fat', 'map']"
332,"['google', 'introduces', 'illness', 'tips']"
333,"['england', 'bans', 'smoking', 'in', 'cars']"
334,"['opposition', 'claims', 'of', 'a&amp;e', 'in', 'crisis']"
335,"['video:', 'it', 'was', 'a', 'toxic', 'culture']"
336,"['video:', 'the', 'science', 'behind', 'food', 'cravings']"
337,"['video:', 'nhs', 'whistleblowers', 'bullied', 'into', 'silence']"
338,"['breath', 'test', 'for', ""parkinson's"", 'disease']"
339,"['uk', 'ebola', 'response', 'far', 'too', 'slow']"
340,"['nhs', 'staff', 'afraid', 'to', 'speak', 'out']"
341,"['video:', 'pioneering', 'drug', 'treatment', 'for', 'cancer']"
342,"['obese', 'workers', 'have', 'disability', 'rights']"
343,"['private', 'nhs', 'hospital', 'wants', 'bailout']"
344,"['food', 'fight:', 'row', 'over', 'fat', 'advice']"
345,"['video:', 'health', 'benefits', 'of', 'oil', 'explained']"
346,"['damages', 'for', 'france', 'baby', 'mix-up']"
347,"['advice:', 'no', 'alcohol', 'safe', 'in', 'pregnancy']"
348,"['hospital', 'maternity', 'care', 'concerns']"
349,"['putting', 'fitness', 'trackers', 'to', 'the', 'test']"
350,"['smart', 'insulin', 'hope', 'for', 'diabetes']"
351,"['focus', 'on', 'fitness', 'not', 'fatness']"
352,"['warning', 'over', 'new', 'drug-driving', 'law']"
353,"['asbestos', 'nhs', 'costs', 'decision', 'due']"
354,"['care', 'staff', 'miss', 'out', 'on', 'minimum', 'pay']"
355,"['uk', 'pledges', 'millions', 'to', 'new', 'ebola', 'fund']"
356,"['video:', 'everyday', 'miracle', 'of', 'cataract', 'surgery']"
357,"['nhs', 'to', 'review', 'avoidable', 'deaths', '-', 'hunt']"
358,"['one', 'in', 'five', 'care', 'homes', 'fail', 'key', 'test']"
359,"['woman', 'cured', 'by', 'lucky', 'dna', 'mutation']"
360,"['deaths', 'averted', 'at', 'failing', 'hospitals']"
361,"['video:', 'full', 'investigation', 'when', 'care', 'fails']"
362,"['video:', 'counting', 'birds', 'helps', 'mum’s', 'dementia']"
363,"[""daughter's"", 'poo', 'made', 'me', 'obese']"
364,"['nhs', 'complaints', 'process', 'inadequate']"
365,"['diabetes:', 'women', 'more', 'likely', 'to', 'die']"
366,"['video:', 'how', 'a', 'needs', 'assessment', 'works']"
367,"['babies', 'eye', 'movement', 'autism', 'link']"
368,"['canada', 'to', 'allow', 'assisted', 'suicide']"
369,"['failed', 'fat-ban', 'will', 'fuel', 'nhs', 'debt']"
370,"['how', 'is', 'the', 'nhs', 'coping', 'this', 'winter?']"
371,"['training', 'very', 'hard', 'is', 'unhealthy']"
372,"['doctor', 'guilty', 'of', 'indecent', 'assaults']"
373,"['a&amp;e', 'waits', 'worsen', 'slightly', 'in', 'england']"
374,"['video:', ""boy's"", 'worldwide', 'search', 'for', 'donor']"
375,"['wild', 'birds', 'may', 'spread', 'flu', 'virus']"
376,"['mental', 'health', 'detentions', 'a', 'scandal']"
377,"['new', 'advice', 'for', 'flying', 'when', 'pregnant']"
378,"['radical', 'nhs', 'changes', 'disastrous']"
379,"['flu', 'vaccine', 'is', 'barely', 'effective']"
380,"['rejected', 'cancer', 'drug', 'extends', 'life']"
381,"['e-cigarettes', 'may', 'harm', 'the', 'lungs']"
382,"['making', 'the', 'sums', 'add', 'up']"
383,"['video:', 'nhs', 'agency', 'nurses', 'spending', 'increase']"
384,"['blood', 'test', 'hope', 'for', 'bowel', 'cancer']"
385,"['nhs', 'agency', 'nurses', 'spending', 'soars']"
386,"['children', 'familiar', 'with', 'beer', 'brands']"
387,"['call', 'to', 'boost', 'antibiotics', 'funding']"
388,"['viewpoint:', 'talking', 'about', 'mental', 'health', 'is', 'just', 'the', 'first', 'step']"
389,"['video:', 'what', 'does', 'a', 'singer', 'with', ""down's"", 'syndrome', 'sound', 'like?']"
390,"['new', 'ebola', 'cases', 'rise', 'in', '2015']"
391,"['video:', 'half', 'of', 'people', 'will', 'get', 'cancer']"
392,"['video:', 'inside', 'a', 'challenging', 'behaviour', 'unit']"
393,"['doctor', 'not', 'guilty', 'of', 'performing', 'fgm']"
394,"['care', 'cap', 'for', 'young', 'adults', 'proposed']"
395,"['mother', 'of', 'six', 'can', 'be', 'sterilised']"
396,"['video:', 'calls', 'for', 'funding', 'to', 'treat', 'sight', 'loss']"
397,"['ebola', 'nurse', 'infection', 'down', 'to', 'visor']"
398,"['video:', 'tech', 'helping', 'to', 'treat', 'brain', 'cancer']"
399,"['government', 'failing', 'on', 'care', 'pledge']"
400,"['nhs', '111', 'increasing', 'pressure', 'on', 'nhs']"
401,"['half', 'of', 'uk', 'people', 'will', 'get', 'cancer']"
402,"['what', 'is', 'driving', 'a', 'rise', 'in', 'death', 'rate?']"
403,"['video:', 'warnings', 'over', 'skinny', 'selfies', 'craze']"
404,"['guinea', 'worm', 'will', 'be', 'eradicated', 'soon']"
405,"['mental', 'health', 'services', 'inadequate']"
406,"['bad', 'hospital', 'report', 'had', '300', 'errors']"
407,"['more', 'scots', 'waiting', 'longer', 'in', 'a&amp;e']"
408,"['blood', 'cancer', 'drug', 'offered', 'on', 'nhs']"
409,"['screen', 'time', 'harms', 'teenagers', 'sleep']"
410,"['video:', 'mps', 'to', 'vote', 'on', 'three-person', 'babies']"
411,"['military', 'must', 'tackle', 'alcohol', 'abuse']"
412,"['radical', 'change', 'needed', 'for', 'nhs']"
413,"['crucial', 'vote', 'on', 'three-person', 'babies']"
414,"['how', 'accurate', 'are', 'due', ""dates'?""]"
415,"['video:', 'is', 'a', 'richer', 'world', 'a', 'healthier', 'one?']"
416,"['chris', 'christie', 'wades', 'into', 'measles', 'row']"
417,"['a&amp;e', 'struggles', 'with', 'elderly', 'patients']"
418,"['ebola:', 'call', 'for', 'more', 'sharing', 'of', 'science']"
